type,timestamp,wall_ts,wall_time_iso,angle,distance,snr_db,coherence,diameter_m,update_flag,error_plane_us,error_near_us,rho_hat,valid,loudness_db,loudness_rms,loudness_peak_abs,sound_pressure_level_dbfs,frame_rms,peak_abs
data,0.021333333333333333,1776431638.2329838,2026-04-17T21:13:58.232+08:00,16.613641152052452,0.3259087269786164,-180.0,0.2,0.24,0,431.9416216689468,966.3684054310812,1.2500599135645525,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.042666666666666665,1776431638.2406797,2026-04-17T21:13:58.240+08:00,29.62619876861629,0.3746337739151406,-180.0,0.2,0.24,0,431.9416216689468,966.471652144387,1.3325104922926452,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.064,1776431638.2631748,2026-04-17T21:13:58.263+08:00,39.50350308355999,0.4445577227221747,-180.0,0.2,0.24,0,431.9416216689468,966.6753995956308,1.5063029727120893,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.08533333333333333,1776431638.281805,2026-04-17T21:13:58.281+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.1468312668575,2.400845618558913,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.10666666666666667,1776431638.3011832,2026-04-17T21:13:58.301+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.128,1776431638.3205209,2026-04-17T21:13:58.320+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.14933333333333335,1776431638.341706,2026-04-17T21:13:58.341+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.17066666666666666,1776431638.3745337,2026-04-17T21:13:58.374+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.192,1776431638.3907683,2026-04-17T21:13:58.390+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.21333333333333335,1776431638.41046,2026-04-17T21:13:58.410+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
