type,timestamp,wall_ts,wall_time_iso,angle,distance,snr_db,coherence,diameter_m,update_flag,error_plane_us,error_near_us,rho_hat,valid,loudness_db,loudness_rms,loudness_peak_abs,sound_pressure_level_dbfs,frame_rms,peak_abs
data,0.021333333333333333,1776431666.6759422,2026-04-17T21:14:26.675+08:00,16.613641152052452,0.3259087269786164,-180.0,0.2,0.24,0,431.9416216689468,966.3684054310812,1.2500599135645525,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.042666666666666665,1776431666.682423,2026-04-17T21:14:26.682+08:00,29.62619876861629,0.3746337739151406,-180.0,0.2,0.24,0,431.9416216689468,966.471652144387,1.3325104922926452,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.064,1776431666.7045522,2026-04-17T21:14:26.704+08:00,39.50350308355999,0.4445577227221747,-180.0,0.2,0.24,0,431.9416216689468,966.6753995956308,1.5063029727120893,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.08533333333333333,1776431666.7243054,2026-04-17T21:14:26.724+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.1468312668575,2.400845618558913,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.10666666666666667,1776431666.7427783,2026-04-17T21:14:26.742+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.128,1776431666.761422,2026-04-17T21:14:26.761+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.14933333333333335,1776431666.7832205,2026-04-17T21:14:26.783+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.17066666666666666,1776431666.8120892,2026-04-17T21:14:26.812+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.192,1776431666.8316317,2026-04-17T21:14:26.831+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.21333333333333335,1776431666.8526173,2026-04-17T21:14:26.852+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.23466666666666666,1776431666.8732698,2026-04-17T21:14:26.873+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.256,1776431666.8927145,2026-04-17T21:14:26.892+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.2773333333333333,1776431666.914742,2026-04-17T21:14:26.914+08:00,66.12466998411946,0.16426755339531315,-65.41064461974574,7.261455860199189,0.24,1,345.8811905686323,525.6489362958721,0.10561314303420369,True,-46.00860896896927,0.005006907309107389,0.013444846506923888,-58.87206153186143,0.001138667495467485,0.002899169921875
data,0.2986666666666667,1776431666.934442,2026-04-17T21:14:26.934+08:00,133.28707631559564,0.07940739982819184,-63.48111403423463,6.365814648748492,0.24,1,234.6095343507846,481.10594164337823,0.11983409287084744,True,-47.09238572402063,0.004419577091692472,0.011316393908144453,-60.38912573522441,0.0009561889338932862,0.00238037109375
data,0.32,1776431666.9522874,2026-04-17T21:14:26.952+08:00,133.28707631559564,0.07940739982819184,-62.90784271103302,7.1069831312206695,0.24,0,462.54346301868003,450.1755287695399,0.042676828957769655,True,-44.68431040290043,0.00583155639444251,0.014608536173750745,-57.60614656465286,0.0013173242049492515,0.002655029296875
data,0.3413333333333333,1776431666.9884973,2026-04-17T21:14:26.988+08:00,133.653115102041,0.2961711267597116,-61.416256434324985,6.912190286758282,0.24,1,159.35950491122733,489.1647527747714,0.41289101956006635,True,-45.789868891237276,0.005134599278418016,0.013629596720128517,-58.813949924647,0.0011463111157407994,0.002716064453125
data,0.3626666666666667,1776431667.008217,2026-04-17T21:14:27.008+08:00,133.653115102041,0.2961711267597116,-61.2707748647142,6.432407351106263,0.24,0,396.9035718032541,548.0363569748973,0.11999109357772021,True,-43.61234792844379,0.006597548683538351,0.015162933269265091,-56.52704013838228,0.001491584951284511,0.0029296875
data,0.384,1776431667.024291,2026-04-17T21:14:27.024+08:00,132.69437700625866,0.2774604149142857,-57.91451558539678,6.356655113878688,0.24,0,312.14385770286134,403.7205724615168,0.08477718345283634,True,-43.68886735304346,0.006539682024215224,0.014822877244101819,-56.52900631884865,0.0014912473470310187,0.003570556640625
data,0.4053333333333333,1776431667.0459337,2026-04-17T21:14:27.045+08:00,109.01843470732678,0.1569925209587849,-63.340909913635414,6.578419528507192,0.24,1,278.35167389130226,656.6829434281842,0.12067075922896113,True,-43.99418337696577,0.006313800150754992,0.020303888167140842,-57.111515010317895,0.001394518401725239,0.003143310546875
data,0.4266666666666667,1776431667.0640657,2026-04-17T21:14:27.064+08:00,109.01843470732678,0.1569925209587849,-55.79370054937413,6.4650433241937595,0.24,0,426.56856503640046,449.630206301543,0.04158194263409232,True,-40.666783797732,0.009261062393053854,0.018139664904978023,-53.42751080432099,0.0021312012380737136,0.00390625
data,0.448,1776431667.0826676,2026-04-17T21:14:27.082+08:00,109.01843470732678,0.1569925209587849,-58.38440454134212,6.748362106901551,0.24,0,416.2781151253217,359.4384128804024,0.020443439999778816,True,-40.429344243736665,0.00951771701051552,0.023587330653321647,-53.182028599273295,0.0021922928630966256,0.00408935546875
data,0.4693333333333333,1776431667.1020741,2026-04-17T21:14:27.102+08:00,24.46443392157431,1.1193349175153204,-58.69865257052452,8.0,0.24,1,32.38268628370406,481.78525232573475,1.7160953230342106,True,-39.92141505414581,0.010090884779142812,0.06842660182093736,-53.75859506657765,0.002051493978962575,0.008941650390625
data,0.49066666666666664,1776431667.1332507,2026-04-17T21:14:27.133+08:00,24.46443392157431,1.1193349175153204,-59.60362070229735,6.561906567242238,0.24,0,288.1676524719043,653.6594868564571,3.3798140764499087,True,-41.87467757982287,0.008058721011743914,0.018702902471410043,-54.47571305870105,0.0018889234016650966,0.004150390625
data,0.512,1776431667.1510918,2026-04-17T21:14:27.151+08:00,24.46443392157431,1.1193349175153204,-62.18610715730691,6.377977718039704,0.24,0,477.30104484780554,373.888514536596,4.000477444300992,True,-43.51813306314257,0.006669501074303175,0.015853810817272728,-56.38732713741164,0.0015157711721337118,0.003570556640625
data,0.5333333333333333,1776431667.1740859,2026-04-17T21:14:27.174+08:00,-67.83014344278077,0.4830193532728845,-65.61638670213023,6.738328698954716,0.24,1,418.1284441856164,467.5167031869754,0.9753674248844451,True,-45.570238592950105,0.00526608749264473,0.01727644651900492,-58.828370946209304,0.0011444094956927198,0.0028076171875
data,0.5546666666666666,1776431667.193583,2026-04-17T21:14:27.193+08:00,-89.44315616831155,0.1166453422198786,-63.707312829646185,7.0219173567069575,0.24,1,207.10112357735017,449.174136687187,0.11430083493816852,True,-45.36472153956451,0.005392174310706605,0.013602344038634032,-58.24724560712011,0.0012235950732354724,0.00274658203125
data,0.576,1776431667.212787,2026-04-17T21:14:27.212+08:00,147.83713032854047,0.03770022410375123,-70.41904482232312,6.902712623867783,0.24,1,160.7339484738467,448.80807243135484,0.10605307909475219,True,-46.27702919697264,0.004854545099990767,0.03117454217813146,-61.10541177210074,0.0008805001035845899,0.0030517578125
data,0.5973333333333334,1776431667.2321448,2026-04-17T21:14:27.232+08:00,151.38420366199455,0.039090555471211555,-57.69676144486176,7.0798974543532625,0.24,0,410.03389468983306,349.46702921949765,0.06201134975423029,True,-41.258703765799936,0.008650970114432357,0.020914597831872907,-54.120222763263115,0.001967835820823601,0.00439453125
data,0.6186666666666667,1776431667.2530441,2026-04-17T21:14:27.253+08:00,139.50088148229497,0.1030986674880137,-61.63053334974086,7.109296911395344,0.24,1,102.5448256996844,474.7600703618066,0.1380837134225497,True,-44.58327160085008,0.005899788186836384,0.013679433063152715,-57.66934539808679,0.0013077740940714015,0.002716064453125
data,0.64,1776431667.272942,2026-04-17T21:14:27.272+08:00,139.81119097514556,0.09985599405293555,-59.42384047363967,6.782895859157492,0.24,0,341.19447720446067,490.8565546551505,0.06291120216050006,True,-42.158436249533324,0.007799705186482086,0.01760177448193759,-55.06292310207207,0.001765443587915793,0.003875732421875
data,0.6613333333333333,1776431667.3052785,2026-04-17T21:14:27.305+08:00,134.63070825824616,0.13189802565175002,-55.43080463237398,6.864020474013986,0.24,1,176.35604087124113,479.36207634215145,0.14944993892837236,True,-40.831972429782866,0.009086599331660903,0.019813196303693943,-53.437408734417815,0.002128774029428075,0.004486083984375
data,0.6826666666666666,1776431667.330019,2026-04-17T21:14:27.330+08:00,-162.0810299144222,0.08444068723054249,-63.31483975734588,6.479604945268315,0.24,1,362.27920842105647,621.8190791125014,0.1167298418395523,True,-44.13419467243496,0.006212841388473055,0.013511344763023368,-57.074290576265824,0.0014005076041167627,0.0029296875
data,0.704,1776431667.3420846,2026-04-17T21:14:27.342+08:00,-166.67075855343498,0.0748676390365184,-60.52652138067287,6.928716085676193,0.24,0,266.18341273755044,357.3008698780451,0.08407752777445014,True,-44.752976308842676,0.005785637036137235,0.013243326910180498,-57.70464614932721,0.0013024698908982277,0.002655029296875
data,0.7253333333333334,1776431667.3632352,2026-04-17T21:14:27.363+08:00,135.48566951782442,0.23552852768278534,-62.22208494061053,6.290645847554684,0.24,0,171.79237551247698,728.4877206557221,2.590526741375679,True,-44.48786934794267,0.005964946222488348,0.012136783830883489,-57.37207966079385,0.0013533060300898979,0.00262451171875
data,0.7466666666666667,1776431667.38204,2026-04-17T21:14:27.382+08:00,134.2960226871574,0.21482634251213265,-66.77080875588162,6.063114519308408,0.24,0,502.1483533301479,566.2770946301252,0.06063051263988261,True,-45.73235499647281,0.005168711002304503,0.016119922640620506,-58.821333819523886,0.0011453370480964573,0.00299072265625
data,0.768,1776431667.400861,2026-04-17T21:14:27.400+08:00,134.2960226871574,0.21482634251213265,-59.05371718090541,7.266389831327507,0.24,0,425.98327410845917,383.97161604413117,0.025318591619124312,True,-43.14919040141448,0.006958898145108684,0.02047717143469944,-55.781958783641585,0.0016251822142167142,0.00408935546875
data,0.7893333333333333,1776431667.4237378,2026-04-17T21:14:27.423+08:00,134.33324942219508,0.19292144548430898,-62.05557995480621,6.477274025125183,0.24,0,294.92982775674767,391.68483673217435,0.05900618563438968,True,-42.30031212272941,0.007673339151386607,0.03162694008026863,-55.20823411873749,0.0017361541951168447,0.00372314453125
data,0.8106666666666666,1776431667.454194,2026-04-17T21:14:27.454+08:00,116.03736215379416,0.15046731438856548,-55.41988093132265,6.40401758186474,0.24,1,296.5133607034895,556.805677016272,0.13680245808314567,True,-39.27226393293634,0.010873936770625623,0.02314438502794149,-51.940634746429836,0.0025291131674557202,0.0048828125
data,0.832,1776431667.4731026,2026-04-17T21:14:27.473+08:00,104.93957283242833,0.11911033550786986,-56.69226362905527,7.160878400260395,0.24,1,188.2053187162821,543.0780347852962,0.10490654711032503,True,-38.43349748725126,0.011976367819462881,0.03630335102769582,-51.303209860348524,0.0027216953228883286,0.00555419921875
data,0.8533333333333334,1776431667.4923034,2026-04-17T21:14:27.492+08:00,104.93957283242833,0.11911033550786986,-57.26177923410294,6.73999571902323,0.24,0,208.37178226526527,626.5849056601562,3.4984606276718586,True,-38.7315061466401,0.011572433469145922,0.03179317863456628,-51.69744184870541,0.002600925469875396,0.0047607421875
data,0.8746666666666667,1776431667.5130079,2026-04-17T21:14:27.513+08:00,108.01349514945184,0.10594078419325262,-54.103933940896816,6.49964669324838,0.24,0,443.7189986184129,487.1424876075855,0.0853868242064605,True,-38.436069163912975,0.0119728224386343,0.023515563739758424,-51.105832393615046,0.002784250974380625,0.005462646484375
data,0.896,1776431667.5341058,2026-04-17T21:14:27.534+08:00,139.51435558163894,0.10092040633247037,-59.328544418905544,7.083525137783866,0.24,1,127.82002192083874,472.6235061449351,0.11071158963872701,True,-42.290188568047256,0.0076822877748291205,0.01851467080891836,-55.305721349935496,0.0017167771825158731,0.0037841796875
data,0.9173333333333333,1776431667.5564175,2026-04-17T21:14:27.556+08:00,107.2806942754438,0.10203903396632787,-56.774628061977886,6.360058120421414,0.24,1,287.71916354093196,481.14853150212286,0.1147378186061343,True,-39.922001215973545,0.010090203825074187,0.019826066277828753,-52.6239314080808,0.0023377788734931845,0.0042724609375
data,0.9386666666666666,1776431667.5819764,2026-04-17T21:14:27.581+08:00,-166.71927471139972,0.060132345154988096,-58.89772454309899,6.443433617826022,0.24,1,435.59847229291455,594.8722308269816,0.104249999840626,True,-43.64443149991758,0.006573223890086665,0.014874920836830213,-56.39136131825552,0.0015150673322897163,0.003265380859375
