type,timestamp,wall_ts,wall_time_iso,angle,distance,snr_db,coherence,diameter_m,update_flag,error_plane_us,error_near_us,rho_hat,valid,loudness_db,loudness_rms,loudness_peak_abs,sound_pressure_level_dbfs,frame_rms,peak_abs
data,0.2986666666666667,1776432468.0677428,2026-04-17T21:27:48.067+08:00,88.36203800387386,0.2894369062633177,-54.83637323142033,6.964370360300558,0.12,1,188.47183696978297,303.64496716499883,0.6217281690654092,True,-39.73700888594961,0.010307410101832563,0.01941373143084464,-52.36414385609429,0.0024087559874704984,0.00445556640625
data,0.32,1776432468.0867078,2026-04-17T21:27:48.086+08:00,115.25832552894587,1.1726096757145772,-59.201355173630354,6.5190211390886335,0.12,1,208.59206779113325,320.6657808813511,1.666515115102686,True,-39.16355876749971,0.011010880812280693,0.034064644134301394,-52.009889480451186,0.0025090281042193913,0.005157470703125
data,0.3413333333333333,1776432468.1164675,2026-04-17T21:27:48.116+08:00,118.2180999046393,1.2831365132551196,-55.03626332881771,6.5326951109324245,0.12,0,115.0371462025906,345.1480078761879,2.6647622170483505,True,-40.29495806493983,0.009666118094126359,0.019422516104125705,-52.87502488743952,0.002271165359763108,0.004364013671875
data,0.3626666666666667,1776432468.1364288,2026-04-17T21:27:48.136+08:00,-40.61078247937658,0.45735286581092166,-60.43438497822245,6.4610252078824155,0.12,1,227.34721568788353,146.7434397440988,1.3708087242955078,True,-39.40486925951482,0.01070918786049452,0.03378702139049155,-52.48451307880397,0.002375605631146295,0.004150390625
data,0.384,1776432468.1552165,2026-04-17T21:27:48.155+08:00,75.68838649491977,0.18942674715194927,-58.39811543368498,6.98571257613796,0.12,1,215.30163508607802,259.8271637663593,0.4573528658091831,True,-42.52197403551891,0.007479994839194224,0.016517203380248115,-55.22065281673362,0.0017336736928830689,0.003326416015625
data,0.4053333333333333,1776432468.180503,2026-04-17T21:27:48.180+08:00,77.24239126764701,0.17343009414081406,-60.954926480239195,6.725505983338591,0.12,0,189.74377555125324,328.6356666417803,0.05987256139458941,True,-38.245089162915725,0.01223898892669684,0.04106092705169932,-51.307579790381865,0.0027203263638927357,0.00543212890625
data,0.4266666666666667,1776432468.2035875,2026-04-17T21:27:48.203+08:00,142.77829441425433,0.773751773985023,-57.968498363267486,6.817993246811271,0.12,1,110.32266208332895,358.73363758024124,1.1548467628056531,True,-42.31291629331636,0.007662212376718642,0.019512029886984424,-54.988235434320686,0.0017806896247840203,0.003326416015625
data,0.448,1776432468.2192981,2026-04-17T21:27:48.219+08:00,141.34316905644835,0.8907313682136866,-60.874807372229974,6.327691109272129,0.12,0,200.64709467418513,220.55282398649047,2.249852237456088,True,-41.134061178465316,0.008776006597950591,0.02191333051386462,-54.018258818595456,0.001991072431190653,0.00421142578125
data,0.4693333333333333,1776432468.2374754,2026-04-17T21:27:48.237+08:00,141.38242605588948,0.8251566083709266,-59.15659716680598,7.138067241189007,0.12,0,213.4351819961732,306.7194979413121,0.0713950807817429,True,-43.09367737589706,0.007003516097447039,0.018025884961387892,-55.8380267560118,0.0016147253454132397,0.003936767578125
data,0.49066666666666664,1776432468.268381,2026-04-17T21:27:48.268+08:00,138.73312925595167,0.9660686266397507,-57.66756391983634,6.370333601655945,0.12,0,151.7662791069396,264.9044554058385,2.6334832071838625,True,-41.02266215381854,0.0088892862678048,0.022496450027745182,-54.01183746458333,0.001992544946807004,0.0040283203125
