type,timestamp,wall_ts,wall_time_iso,angle,distance,snr_db,coherence,diameter_m,update_flag,error_plane_us,error_near_us,rho_hat,valid,loudness_db,loudness_rms,loudness_peak_abs,sound_pressure_level_db,frame_rms,peak_abs
data,0.021333333333333333,1776433632.9911568,2026-04-17T21:47:12.991+08:00,16.613641152052452,0.3259087269786164,-180.0,0.2,0.24,0,431.9416216689468,966.3684054310812,1.2500599135645525,False,-126.02059991327963,1e-12,0.0,-126.02059991327963,1e-12,0.0
data,0.042666666666666665,1776433632.9979467,2026-04-17T21:47:12.997+08:00,29.62619876861629,0.3746337739151406,-180.0,0.2,0.24,0,431.9416216689468,966.471652144387,1.3325104922926452,False,-126.02059991327963,1e-12,0.0,-126.02059991327963,1e-12,0.0
data,0.064,1776433633.0197783,2026-04-17T21:47:13.019+08:00,39.50350308355999,0.4445577227221747,-180.0,0.2,0.24,0,431.9416216689468,966.6753995956308,1.5063029727120893,False,-126.02059991327963,1e-12,0.0,-126.02059991327963,1e-12,0.0
data,0.08533333333333333,1776433633.037815,2026-04-17T21:47:13.037+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.1468312668575,2.400845618558913,False,-126.02059991327963,1e-12,0.0,-126.02059991327963,1e-12,0.0
data,0.10666666666666667,1776433633.0572867,2026-04-17T21:47:13.057+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-126.02059991327963,1e-12,0.0,-126.02059991327963,1e-12,0.0
data,0.128,1776433633.0790896,2026-04-17T21:47:13.079+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-126.02059991327963,1e-12,0.0,-126.02059991327963,1e-12,0.0
data,0.14933333333333335,1776433633.0985482,2026-04-17T21:47:13.098+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-126.02059991327963,1e-12,0.0,-126.02059991327963,1e-12,0.0
data,0.17066666666666666,1776433633.1303916,2026-04-17T21:47:13.130+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-126.02059991327963,1e-12,0.0,-126.02059991327963,1e-12,0.0
data,0.192,1776433633.1529613,2026-04-17T21:47:13.152+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-126.02059991327963,1e-12,0.0,-126.02059991327963,1e-12,0.0
data,0.21333333333333335,1776433633.168018,2026-04-17T21:47:13.168+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-126.02059991327963,1e-12,0.0,-126.02059991327963,1e-12,0.0
data,0.23466666666666666,1776433633.189515,2026-04-17T21:47:13.189+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-126.02059991327963,1e-12,0.0,-126.02059991327963,1e-12,0.0
data,0.256,1776433633.208701,2026-04-17T21:47:13.208+08:00,48.68069635597311,0.5844097491039902,-180.0,0.2,0.24,0,431.9416216689468,967.2971434114332,3.2020635258284353,False,-126.02059991327963,1e-12,0.0,-126.02059991327963,1e-12,0.0
data,0.2773333333333333,1776433633.2286663,2026-04-17T21:47:13.228+08:00,48.68069635597311,0.5844097491039902,-55.73996159210785,8.0,0.24,0,266.6311633164288,0.5960592589056721,0.00011989662772380455,True,75.78727802082723,0.012313851069922029,0.030618660370358236,77.17787272280518,0.014451856207919209,0.005828857421875
